[ 2013-05-05T10:57:18+08:00 ] /?a=index&m=cate&cid=61 | INFO: Tag[ app_begin ] --START--
[ 2013-05-05T10:57:18+08:00 ] /?a=index&m=cate&cid=61 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000416s ]
[ 2013-05-05T10:57:18+08:00 ] /?a=index&m=cate&cid=61 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000479s ]
[ 2013-05-05T10:57:18+08:00 ] /?a=index&m=cate&cid=61 | SQL: SHOW COLUMNS FROM `pp_setting` [ RunTime:0.025769s ]
[ 2013-05-05T10:57:18+08:00 ] /?a=index&m=cate&cid=61 | SQL: SELECT `data` FROM `pp_setting` WHERE ( `name` = 'site_status' ) LIMIT 1   [ RunTime:0.000246s ]
[ 2013-05-05T10:57:18+08:00 ] /?a=index&m=cate&cid=61 | SQL: SHOW COLUMNS FROM `pp_setting` [ RunTime:0.001059s ]
[ 2013-05-05T10:57:18+08:00 ] /?a=index&m=cate&cid=61 | SQL: SHOW COLUMNS FROM `pp_like_list` [ RunTime:0.000899s ]
[ 2013-05-05T10:57:18+08:00 ] /?a=index&m=cate&cid=61 | SQL: SHOW COLUMNS FROM `pp_user` [ RunTime:0.001681s ]
[ 2013-05-05T10:57:18+08:00 ] /?a=index&m=cate&cid=61 | SQL: SHOW COLUMNS FROM `pp_items` [ RunTime:0.001876s ]
[ 2013-05-05T10:57:18+08:00 ] /?a=index&m=cate&cid=61 | SQL: SHOW COLUMNS FROM `pp_items_cate` [ RunTime:0.001275s ]
[ 2013-05-05T10:57:18+08:00 ] /?a=index&m=cate&cid=61 | SQL: SHOW COLUMNS FROM `pp_items_comments` [ RunTime:0.000799s ]
[ 2013-05-05T10:57:18+08:00 ] /?a=index&m=cate&cid=61 | SQL: SHOW COLUMNS FROM `pp_user_openid` [ RunTime:0.001054s ]
[ 2013-05-05T10:57:18+08:00 ] /?a=index&m=cate&cid=61 | SQL: SHOW COLUMNS FROM `pp_user_follow` [ RunTime:0.001127s ]
[ 2013-05-05T10:57:18+08:00 ] /?a=index&m=cate&cid=61 | SQL: SHOW COLUMNS FROM `pp_user_comments` [ RunTime:0.001072s ]
[ 2013-05-05T10:57:18+08:00 ] /?a=index&m=cate&cid=61 | SQL: SELECT * FROM `pp_setting`  [ RunTime:0.000230s ]
[ 2013-05-05T10:57:18+08:00 ] /?a=index&m=cate&cid=61 | SQL: SHOW COLUMNS FROM `pp_nav` [ RunTime:0.001099s ]
[ 2013-05-05T10:57:18+08:00 ] /?a=index&m=cate&cid=61 | SQL: SELECT * FROM `pp_nav` WHERE is_show=1 AND type=1 ORDER BY sort_order ASC  [ RunTime:0.000355s ]
[ 2013-05-05T10:57:18+08:00 ] /?a=index&m=cate&cid=61 | SQL: SHOW COLUMNS FROM `pp_flink` [ RunTime:0.001254s ]
[ 2013-05-05T10:57:18+08:00 ] /?a=index&m=cate&cid=61 | SQL: SELECT * FROM `pp_flink` WHERE status=1  [ RunTime:0.000233s ]
[ 2013-05-05T10:57:18+08:00 ] /?a=index&m=cate&cid=61 | NOTIC: [8] Undefined index: user_id baseAction.class.php 第 97 行.
[ 2013-05-05T10:57:18+08:00 ] /?a=index&m=cate&cid=61 | SQL: SELECT * FROM `pp_user` WHERE id= LIMIT 1   [ RunTime:0.000111s ]
[ 2013-05-05T10:57:18+08:00 ] /?a=index&m=cate&cid=61 | NOTIC: [8] Undefined index: user_id baseAction.class.php 第 114 行.
