[ 2013-05-05T14:32:31+08:00 ] /?a=index&m=search&sortby=dlikes | INFO: Tag[ app_begin ] --START--
[ 2013-05-05T14:32:31+08:00 ] /?a=index&m=search&sortby=dlikes | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000361s ]
[ 2013-05-05T14:32:31+08:00 ] /?a=index&m=search&sortby=dlikes | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000426s ]
[ 2013-05-05T14:32:31+08:00 ] /?a=index&m=search&sortby=dlikes | SQL: SHOW COLUMNS FROM `pp_setting` [ RunTime:0.046222s ]
[ 2013-05-05T14:32:31+08:00 ] /?a=index&m=search&sortby=dlikes | SQL: SELECT `data` FROM `pp_setting` WHERE ( `name` = 'site_status' ) LIMIT 1   [ RunTime:0.000589s ]
[ 2013-05-05T14:32:31+08:00 ] /?a=index&m=search&sortby=dlikes | SQL: SHOW COLUMNS FROM `pp_setting` [ RunTime:0.001553s ]
[ 2013-05-05T14:32:31+08:00 ] /?a=index&m=search&sortby=dlikes | SQL: SHOW COLUMNS FROM `pp_like_list` [ RunTime:0.001194s ]
[ 2013-05-05T14:32:31+08:00 ] /?a=index&m=search&sortby=dlikes | SQL: SHOW COLUMNS FROM `pp_user` [ RunTime:0.001919s ]
[ 2013-05-05T14:32:31+08:00 ] /?a=index&m=search&sortby=dlikes | SQL: SHOW COLUMNS FROM `pp_items` [ RunTime:0.001990s ]
[ 2013-05-05T14:32:31+08:00 ] /?a=index&m=search&sortby=dlikes | SQL: SHOW COLUMNS FROM `pp_items_cate` [ RunTime:0.001441s ]
[ 2013-05-05T14:32:31+08:00 ] /?a=index&m=search&sortby=dlikes | SQL: SHOW COLUMNS FROM `pp_items_comments` [ RunTime:0.001153s ]
[ 2013-05-05T14:32:31+08:00 ] /?a=index&m=search&sortby=dlikes | SQL: SHOW COLUMNS FROM `pp_user_openid` [ RunTime:0.001322s ]
[ 2013-05-05T14:32:31+08:00 ] /?a=index&m=search&sortby=dlikes | SQL: SHOW COLUMNS FROM `pp_user_follow` [ RunTime:0.000985s ]
[ 2013-05-05T14:32:31+08:00 ] /?a=index&m=search&sortby=dlikes | SQL: SHOW COLUMNS FROM `pp_user_comments` [ RunTime:0.001001s ]
[ 2013-05-05T14:32:31+08:00 ] /?a=index&m=search&sortby=dlikes | SQL: SELECT * FROM `pp_setting`  [ RunTime:0.000356s ]
[ 2013-05-05T14:32:31+08:00 ] /?a=index&m=search&sortby=dlikes | SQL: SHOW COLUMNS FROM `pp_nav` [ RunTime:0.001199s ]
[ 2013-05-05T14:32:31+08:00 ] /?a=index&m=search&sortby=dlikes | SQL: SELECT * FROM `pp_nav` WHERE is_show=1 AND type=1 ORDER BY sort_order ASC  [ RunTime:0.000269s ]
[ 2013-05-05T14:32:31+08:00 ] /?a=index&m=search&sortby=dlikes | SQL: SHOW COLUMNS FROM `pp_flink` [ RunTime:0.001006s ]
[ 2013-05-05T14:32:31+08:00 ] /?a=index&m=search&sortby=dlikes | SQL: SELECT * FROM `pp_flink` WHERE status=1  [ RunTime:0.000160s ]
[ 2013-05-05T14:32:31+08:00 ] /?a=index&m=search&sortby=dlikes | NOTIC: [8] Undefined index: user_id baseAction.class.php 第 97 行.
[ 2013-05-05T14:32:31+08:00 ] /?a=index&m=search&sortby=dlikes | SQL: SELECT * FROM `pp_user` WHERE id= LIMIT 1   [ RunTime:0.000115s ]
[ 2013-05-05T14:32:31+08:00 ] /?a=index&m=search&sortby=dlikes | NOTIC: [8] Undefined index: user_id baseAction.class.php 第 114 行.
[ 2013-05-05T14:32:31+08:00 ] /?a=index&m=search&sortby=dlikes | SQL: SELECT COUNT(*) AS tp_count FROM `pp_user_follow` WHERE fans_id= and uid= LIMIT 1   [ RunTime:0.000115s ]
[ 2013-05-05T14:32:31+08:00 ] /?a=index&m=search&sortby=dlikes | NOTIC: [8] Undefined index: user_id baseAction.class.php 第 118 行.
[ 2013-05-05T14:32:31+08:00 ] /?a=index&m=search&sortby=dlikes | SQL: SHOW COLUMNS FROM `pp_items_cate` [ RunTime:0.001045s ]
[ 2013-05-05T14:32:31+08:00 ] /?a=index&m=search&sortby=dlikes | SQL: SELECT * FROM `pp_items_cate` ORDER BY ordid DESC  [ RunTime:0.001830s ]
[ 2013-05-05T14:32:31+08:00 ] /?a=index&m=search&sortby=dlikes | NOTIC: [8] Undefined index: user_id baseAction.class.php 第 201 行.
[ 2013-05-05T14:32:31+08:00 ] /?a=index&m=search&sortby=dlikes | NOTIC: [8] Use of undefined constant __TMPL__ - assumed '__TMPL__' baseAction.class.php 第 205 行.
