[ 2013-05-08T21:54:02+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2013-05-08T21:54:02+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000339s ]
[ 2013-05-08T21:54:02+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000438s ]
[ 2013-05-08T21:54:02+08:00 ] / | SQL: SHOW COLUMNS FROM `pp_setting` [ RunTime:0.002385s ]
[ 2013-05-08T21:54:02+08:00 ] / | SQL: SELECT `data` FROM `pp_setting` WHERE ( `name` = 'site_status' ) LIMIT 1   [ RunTime:0.000258s ]
[ 2013-05-08T21:54:02+08:00 ] / | SQL: SHOW COLUMNS FROM `pp_setting` [ RunTime:0.002169s ]
[ 2013-05-08T21:54:02+08:00 ] / | SQL: SHOW COLUMNS FROM `pp_like_list` [ RunTime:0.019420s ]
[ 2013-05-08T21:54:02+08:00 ] / | SQL: SHOW COLUMNS FROM `pp_user` [ RunTime:0.002871s ]
[ 2013-05-08T21:54:02+08:00 ] / | SQL: SHOW COLUMNS FROM `pp_items` [ RunTime:0.016126s ]
[ 2013-05-08T21:54:02+08:00 ] / | SQL: SHOW COLUMNS FROM `pp_items_cate` [ RunTime:0.003432s ]
[ 2013-05-08T21:54:02+08:00 ] / | SQL: SHOW COLUMNS FROM `pp_items_comments` [ RunTime:0.001738s ]
[ 2013-05-08T21:54:03+08:00 ] / | SQL: SHOW COLUMNS FROM `pp_user_openid` [ RunTime:0.014026s ]
[ 2013-05-08T21:54:03+08:00 ] / | SQL: SHOW COLUMNS FROM `pp_user_follow` [ RunTime:0.004605s ]
[ 2013-05-08T21:54:03+08:00 ] / | SQL: SHOW COLUMNS FROM `pp_user_comments` [ RunTime:0.018038s ]
[ 2013-05-08T21:54:03+08:00 ] / | SQL: SELECT * FROM `pp_setting`  [ RunTime:0.000371s ]
[ 2013-05-08T21:54:03+08:00 ] / | SQL: SHOW COLUMNS FROM `pp_nav` [ RunTime:0.002601s ]
[ 2013-05-08T21:54:03+08:00 ] / | SQL: SELECT * FROM `pp_nav` WHERE is_show=1 AND type=1 ORDER BY sort_order ASC  [ RunTime:0.000420s ]
[ 2013-05-08T21:54:03+08:00 ] / | SQL: SHOW COLUMNS FROM `pp_flink` [ RunTime:0.001767s ]
