[ 2013-05-08T22:38:06+08:00 ] /?a=index&m=index&sp=2&p=1 | INFO: Tag[ app_begin ] --START--
[ 2013-05-08T22:38:06+08:00 ] /?a=index&m=index&sp=2&p=1 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000266s ]
[ 2013-05-08T22:38:06+08:00 ] /?a=index&m=index&sp=2&p=1 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000320s ]
[ 2013-05-08T22:38:06+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SHOW COLUMNS FROM `pp_setting` [ RunTime:0.011801s ]
[ 2013-05-08T22:38:06+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SELECT `data` FROM `pp_setting` WHERE ( `name` = 'site_status' ) LIMIT 1   [ RunTime:0.000227s ]
[ 2013-05-08T22:38:06+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SHOW COLUMNS FROM `pp_setting` [ RunTime:0.000800s ]
[ 2013-05-08T22:38:06+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SHOW COLUMNS FROM `pp_like_list` [ RunTime:0.000954s ]
[ 2013-05-08T22:38:06+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SHOW COLUMNS FROM `pp_user` [ RunTime:0.001271s ]
[ 2013-05-08T22:38:06+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SHOW COLUMNS FROM `pp_items` [ RunTime:0.003098s ]
[ 2013-05-08T22:38:06+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SHOW COLUMNS FROM `pp_items_cate` [ RunTime:0.001383s ]
[ 2013-05-08T22:38:06+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SHOW COLUMNS FROM `pp_items_comments` [ RunTime:0.000744s ]
[ 2013-05-08T22:38:06+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SHOW COLUMNS FROM `pp_user_openid` [ RunTime:0.000983s ]
[ 2013-05-08T22:38:06+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SHOW COLUMNS FROM `pp_user_follow` [ RunTime:0.000999s ]
[ 2013-05-08T22:38:06+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SHOW COLUMNS FROM `pp_user_comments` [ RunTime:0.001012s ]
[ 2013-05-08T22:38:06+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SELECT * FROM `pp_setting`  [ RunTime:0.000237s ]
[ 2013-05-08T22:38:06+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SHOW COLUMNS FROM `pp_nav` [ RunTime:0.001116s ]
[ 2013-05-08T22:38:06+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SELECT * FROM `pp_nav` WHERE is_show=1 AND type=1 ORDER BY sort_order ASC  [ RunTime:0.000262s ]
[ 2013-05-08T22:38:06+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SHOW COLUMNS FROM `pp_flink` [ RunTime:0.001069s ]
[ 2013-05-08T22:38:06+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SELECT * FROM `pp_flink` WHERE status=1  [ RunTime:0.000177s ]
[ 2013-05-08T22:38:06+08:00 ] /?a=index&m=index&sp=2&p=1 | NOTIC: [8] Undefined index: user_id baseAction.class.php 第 97 行.
[ 2013-05-08T22:38:06+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SELECT * FROM `pp_user` WHERE id= LIMIT 1   [ RunTime:0.000092s ]
[ 2013-05-08T22:38:06+08:00 ] /?a=index&m=index&sp=2&p=1 | NOTIC: [8] Undefined index: user_id baseAction.class.php 第 114 行.
