[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | INFO: Tag[ app_begin ] --START--
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000226s ]
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000274s ]
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SHOW COLUMNS FROM `pp_setting` [ RunTime:0.002597s ]
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SELECT `data` FROM `pp_setting` WHERE ( `name` = 'site_status' ) LIMIT 1   [ RunTime:0.000469s ]
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SHOW COLUMNS FROM `pp_setting` [ RunTime:0.000754s ]
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SHOW COLUMNS FROM `pp_like_list` [ RunTime:0.001391s ]
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SHOW COLUMNS FROM `pp_user` [ RunTime:0.003407s ]
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SHOW COLUMNS FROM `pp_items` [ RunTime:0.001428s ]
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SHOW COLUMNS FROM `pp_items_cate` [ RunTime:0.001546s ]
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SHOW COLUMNS FROM `pp_items_comments` [ RunTime:0.000764s ]
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SHOW COLUMNS FROM `pp_user_openid` [ RunTime:0.001152s ]
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SHOW COLUMNS FROM `pp_user_follow` [ RunTime:0.001033s ]
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SHOW COLUMNS FROM `pp_user_comments` [ RunTime:0.001170s ]
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SELECT * FROM `pp_setting`  [ RunTime:0.000315s ]
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SHOW COLUMNS FROM `pp_nav` [ RunTime:0.001138s ]
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SELECT * FROM `pp_nav` WHERE is_show=1 AND type=1 ORDER BY sort_order ASC  [ RunTime:0.000291s ]
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SHOW COLUMNS FROM `pp_flink` [ RunTime:0.001288s ]
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SELECT * FROM `pp_flink` WHERE status=1  [ RunTime:0.000170s ]
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | NOTIC: [8] Undefined index: user_id baseAction.class.php 第 97 行.
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SELECT * FROM `pp_user` WHERE id= LIMIT 1   [ RunTime:0.000092s ]
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | NOTIC: [8] Undefined index: user_id baseAction.class.php 第 114 行.
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SELECT COUNT(*) AS tp_count FROM `pp_user_follow` WHERE fans_id= and uid= LIMIT 1   [ RunTime:0.000093s ]
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | NOTIC: [8] Undefined index: user_id baseAction.class.php 第 118 行.
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SHOW COLUMNS FROM `pp_items_cate` [ RunTime:0.001439s ]
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SELECT * FROM `pp_items_cate` ORDER BY ordid DESC  [ RunTime:0.001882s ]
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | NOTIC: [8] Undefined index: user_id baseAction.class.php 第 201 行.
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | NOTIC: [8] Use of undefined constant __TMPL__ - assumed '__TMPL__' baseAction.class.php 第 205 行.
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SHOW COLUMNS FROM `pp_focus` [ RunTime:0.001402s ]
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SHOW COLUMNS FROM `pp_items_cate` [ RunTime:0.001050s ]
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SHOW COLUMNS FROM `pp_items` [ RunTime:0.001182s ]
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SELECT * FROM `pp_items_cate` WHERE pid=0 AND is_hots=1 and status=1  [ RunTime:0.000357s ]
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SELECT * FROM `pp_items_cate` WHERE pid=1 and status=1 ORDER BY ordid DESC LIMIT 0,10   [ RunTime:0.000358s ]
