[ 2013-05-09T23:25:38+08:00 ] / | ERR: (ThinkException) Operation timed out
[ 2013-05-09T23:22:13+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2013-05-09T23:22:13+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000421s ]
[ 2013-05-09T23:22:13+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000583s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SHOW COLUMNS FROM `pp_setting` [ RunTime:0.033899s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SELECT `data` FROM `pp_setting` WHERE ( `name` = 'site_status' ) LIMIT 1   [ RunTime:0.000228s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SHOW COLUMNS FROM `pp_setting` [ RunTime:0.001566s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SHOW COLUMNS FROM `pp_like_list` [ RunTime:0.001583s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SHOW COLUMNS FROM `pp_user` [ RunTime:0.002013s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SHOW COLUMNS FROM `pp_items` [ RunTime:0.001627s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SHOW COLUMNS FROM `pp_items_cate` [ RunTime:0.001475s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SHOW COLUMNS FROM `pp_items_comments` [ RunTime:0.000935s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SHOW COLUMNS FROM `pp_user_openid` [ RunTime:0.001249s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SHOW COLUMNS FROM `pp_user_follow` [ RunTime:0.001284s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SHOW COLUMNS FROM `pp_user_comments` [ RunTime:0.001129s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SELECT * FROM `pp_setting`  [ RunTime:0.000240s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SHOW COLUMNS FROM `pp_nav` [ RunTime:0.000914s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SELECT * FROM `pp_nav` WHERE is_show=1 AND type=1 ORDER BY sort_order ASC  [ RunTime:0.000278s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SHOW COLUMNS FROM `pp_flink` [ RunTime:0.001064s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SELECT * FROM `pp_flink` WHERE status=1  [ RunTime:0.000181s ]
[ 2013-05-09T23:29:40+08:00 ] / | NOTIC: [8] Undefined index: user_id baseAction.class.php 第 97 行.
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SELECT * FROM `pp_user` WHERE id= LIMIT 1   [ RunTime:0.000101s ]
[ 2013-05-09T23:29:40+08:00 ] / | NOTIC: [8] Undefined index: user_id baseAction.class.php 第 114 行.
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SELECT COUNT(*) AS tp_count FROM `pp_user_follow` WHERE fans_id= and uid= LIMIT 1   [ RunTime:0.000101s ]
[ 2013-05-09T23:29:40+08:00 ] / | NOTIC: [8] Undefined index: user_id baseAction.class.php 第 118 行.
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SHOW COLUMNS FROM `pp_items_cate` [ RunTime:0.001100s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SELECT * FROM `pp_items_cate` ORDER BY ordid DESC  [ RunTime:0.002350s ]
[ 2013-05-09T23:29:40+08:00 ] / | NOTIC: [8] Undefined index: user_id baseAction.class.php 第 201 行.
[ 2013-05-09T23:29:40+08:00 ] / | NOTIC: [8] Use of undefined constant __TMPL__ - assumed '__TMPL__' baseAction.class.php 第 205 行.
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SHOW COLUMNS FROM `pp_focus` [ RunTime:0.001691s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SHOW COLUMNS FROM `pp_items_cate` [ RunTime:0.000955s ]
